From,To,Length(m),Azimuth(deg),Clino(deg)
97@byaki_08.byaki,-,4.47,124.80,12.50
320@byaki_08.byaki,98@byaki_08.byaki,13.80,72.70,-2.50
98@byaki_08.byaki,99@byaki_08.byaki,21.00,61.90,1.00
99@byaki_08.byaki,100@byaki_08.byaki,10.60,39.30,1.90
100@byaki_08.byaki,323@byaki_08.byaki,3.60,79.40,9.80
323@byaki_08.byaki,101@byaki_08.byaki,4.99,79.50,-3.70
101@byaki_08.byaki,324@byaki_08.byaki,3.92,156.60,2.90
324@byaki_08.byaki,102@byaki_08.byaki,13.96,121.30,0.20
102@byaki_08.byaki,325@byaki_08.byaki,4.12,194.90,17.80
325@byaki_08.byaki,103@byaki_08.byaki,11.95,194.10,6.90
103@byaki_08.byaki,104@byaki_08.byaki,13.23,178.60,-3.60
104@byaki_08.byaki,105@byaki_08.byaki,4.46,178.30,5.30
105@byaki_08.byaki,293@byaki_08.byaki,7.79,86.20,2.00
293@byaki_08.byaki,106@byaki_08.byaki,3.42,100.20,-9.30
106@byaki_08.byaki,107@byaki_08.byaki,14.30,169.70,0.80
107@byaki_08.byaki,239@byaki_08.byaki,14.21,187.90,3.30
289@byaki_09.byaki,288@byaki_09.byaki,6.04,100.50,7.90
288@byaki_09.byaki,108@byaki_09.byaki,4.87,58.60,-7.10
108@byaki_09.byaki,501@byaki_09.byaki,9.82,91.80,5.60
501@byaki_09.byaki,109@byaki_09.byaki,4.25,46.70,0.70
109@byaki_09.byaki,503@byaki_09.byaki,3.55,75.90,3.60
503@byaki_09.byaki,502@byaki_09.byaki,12.90,120.80,0.10
502@byaki_09.byaki,110@byaki_09.byaki,11.22,117.20,-2.40
110@byaki_09.byaki,111@byaki_09.byaki,6.59,133.00,5.20
111@byaki_09.byaki,112@byaki_09.byaki,6.92,86.50,3.30
112@byaki_09.byaki,113@byaki_09.byaki,5.31,137.10,3.00
113@byaki_09.byaki,114@byaki_09.byaki,5.07,98.20,-3.20
114@byaki_09.byaki,509@byaki_09.byaki,2.78,180.10,-1.60
114@byaki_09.byaki,515@byaki_09.byaki,7.45,99.00,2.60
515@byaki_09.byaki,115@byaki_09.byaki,2.80,54.90,-5.30
115@byaki_09.byaki,116@byaki_09.byaki,4.89,152.70,7.30
116@byaki_09.byaki,516@byaki_09.byaki,2.66,48.00,-9.80
516@byaki_09.byaki,520@byaki_09.byaki,3.30,131.10,13.20
516@byaki_09.byaki,117@byaki_09.byaki,6.13,96.70,1.30
117@byaki_09.byaki,118@byaki_09.byaki,7.43,55.80,2.20
118@byaki_09.byaki,521@byaki_09.byaki,3.02,130.60,-1.30
118@byaki_09.byaki,119@byaki_09.byaki,6.74,106.70,-2.80
119@byaki_09.byaki,522@byaki_09.byaki,3.32,138.60,21.20
522@byaki_09.byaki,523@byaki_09.byaki,4.05,117.80,-5.90
523@byaki_09.byaki,120@byaki_09.byaki,4.96,119.50,1.00
120@byaki_09.byaki,524@byaki_09.byaki,6.64,169.40,-0.90
524@byaki_09.byaki,121@byaki_09.byaki,2.31,7.30,0.60
121@byaki_09.byaki,-,1.18,354.20,20.10
121@byaki_09.byaki,-,1.49,15.20,20.50
121@byaki_09.byaki,-,1.82,31.10,22.00
121@byaki_09.byaki,-,2.12,44.10,22.20
121@byaki_09.byaki,-,2.56,56.00,17.20
121@byaki_09.byaki,-,2.44,66.30,22.70
121@byaki_09.byaki,-,2.33,76.10,26.40
121@byaki_09.byaki,-,2.64,91.10,21.70
121@byaki_09.byaki,-,2.81,103.00,19.80
121@byaki_09.byaki,-,3.32,111.70,15.00
121@byaki_09.byaki,-,3.21,124.50,15.40
121@byaki_09.byaki,-,3.46,126.10,13.60
121@byaki_09.byaki,-,3.48,136.00,10.40
121@byaki_09.byaki,-,2.96,143.30,11.60
121@byaki_09.byaki,-,2.55,148.20,10.30
121@byaki_09.byaki,-,1.88,156.30,11.60
121@byaki_09.byaki,-,1.75,172.00,12.00
121@byaki_09.byaki,-,1.85,163.10,14.20
121@byaki_09.byaki,-,1.90,160.50,4.80
121@byaki_09.byaki,-,1.86,167.30,0.40
121@byaki_09.byaki,-,2.29,192.80,5.40
121@byaki_09.byaki,-,2.32,196.30,2.10
121@byaki_09.byaki,-,2.39,199.80,4.80
121@byaki_09.byaki,-,2.58,212.50,3.20
121@byaki_09.byaki,-,2.84,218.70,2.10
121@byaki_09.byaki,-,2.93,225.50,4.50
121@byaki_09.byaki,-,4.42,228.50,4.60
121@byaki_09.byaki,-,4.77,231.90,8.00
121@byaki_09.byaki,-,4.97,233.20,7.60
121@byaki_09.byaki,-,2.41,235.90,8.20
121@byaki_09.byaki,-,1.38,243.60,11.50
121@byaki_09.byaki,-,1.09,251.20,12.50
121@byaki_09.byaki,-,0.96,263.20,13.50
121@byaki_09.byaki,-,0.91,276.40,13.20
121@byaki_09.byaki,-,0.98,174.90,-35.30
121@byaki_09.byaki,122@byaki_09.byaki,0.99,173.40,-35.90
122@byaki_09.byaki,123@byaki_09.byaki,3.03,249.90,18.30
123@byaki_09.byaki,-,0.76,95.50,7.60
123@byaki_09.byaki,-,0.55,109.70,5.50
123@byaki_09.byaki,-,0.48,140.90,3.40
123@byaki_09.byaki,-,0.52,176.00,4.30
123@byaki_09.byaki,-,0.71,204.50,4.20
123@byaki_09.byaki,-,1.38,227.60,3.30
123@byaki_09.byaki,-,1.92,237.60,5.90
123@byaki_09.byaki,-,2.11,242.40,3.40
123@byaki_09.byaki,124@byaki_09.byaki,1.40,234.90,-20.60
124@byaki_09.byaki,125@byaki_09.byaki,1.74,260.40,5.70
125@byaki_09.byaki,-,1.72,63.00,0.20
125@byaki_09.byaki,-,1.11,54.10,3.00
125@byaki_09.byaki,-,0.54,30.30,6.10
125@byaki_09.byaki,-,0.41,359.90,14.00
125@byaki_09.byaki,-,0.51,336.40,11.40
125@byaki_09.byaki,-,0.58,335.10,21.30
125@byaki_09.byaki,-,0.80,297.20,10.30
125@byaki_09.byaki,-,1.20,270.30,8.30
125@byaki_09.byaki,-,1.47,257.20,3.60
125@byaki_09.byaki,-,2.91,249.70,1.80
125@byaki_09.byaki,-,3.11,246.70,0.70
125@byaki_09.byaki,-,2.20,244.00,1.10
125@byaki_09.byaki,-,2.16,238.90,4.40
125@byaki_09.byaki,-,1.27,349.00,-79.20
125@byaki_09.byaki,-,1.39,55.00,-37.90
125@byaki_09.byaki,-,1.27,45.10,-60.60
125@byaki_09.byaki,-,1.23,24.50,-81.90
125@byaki_09.byaki,-,1.40,244.00,-73.10
125@byaki_09.byaki,-,1.71,239.00,-51.50
125@byaki_09.byaki,-,2.14,245.00,-13.40
125@byaki_09.byaki,-,2.10,243.50,-5.70
125@byaki_09.byaki,-,2.16,242.50,5.30
125@byaki_09.byaki,-,2.08,240.40,13.00
125@byaki_09.byaki,-,1.60,242.90,27.80
125@byaki_09.byaki,-,1.17,251.00,38.80
125@byaki_09.byaki,-,1.08,254.50,46.50
125@byaki_09.byaki,-,0.80,256.70,61.10
125@byaki_09.byaki,-,0.71,246.60,85.10
125@byaki_09.byaki,-,0.75,59.20,60.90
125@byaki_09.byaki,-,1.16,61.90,40.70
125@byaki_09.byaki,-,2.73,70.80,23.50
125@byaki_09.byaki,-,3.50,71.40,14.30
125@byaki_09.byaki,-,5.99,69.80,7.10
125@byaki_09.byaki,-,8.34,68.30,2.90
125@byaki_09.byaki,-,7.61,67.30,-1.90
125@byaki_09.byaki,-,7.60,66.60,-5.30
125@byaki_09.byaki,-,2.70,66.10,-7.50
125@byaki_09.byaki,-,2.29,68.50,-15.10
125@byaki_09.byaki,-,1.80,67.10,-20.10
125@byaki_09.byaki,-,1.28,57.80,-44.90
125@byaki_09.byaki,126@byaki_09.byaki,2.20,245.10,5.60
126@byaki_09.byaki,-,1.24,241.40,-1.40
126@byaki_09.byaki,-,0.83,253.80,-4.00
126@byaki_09.byaki,-,0.69,277.20,-5.40
126@byaki_09.byaki,-,0.54,306.20,-3.80
126@byaki_09.byaki,-,0.38,338.30,2.20
126@byaki_09.byaki,-,0.43,26.70,11.00
126@byaki_09.byaki,-,0.77,45.30,9.60
126@byaki_09.byaki,-,0.75,44.60,6.90
126@byaki_09.byaki,-,2.30,52.00,5.50
126@byaki_09.byaki,-,2.92,59.00,4.60
126@byaki_09.byaki,-,3.38,61.20,2.70
126@byaki_09.byaki,-,1.48,71.60,-1.20
126@byaki_09.byaki,-,2.37,69.10,-0.90
126@byaki_09.byaki,-,1.21,76.50,8.60
126@byaki_09.byaki,-,1.02,83.10,5.30
126@byaki_09.byaki,-,1.02,82.90,3.00
126@byaki_09.byaki,-,1.03,93.90,5.50
126@byaki_09.byaki,-,1.02,108.40,6.40
126@byaki_09.byaki,-,0.67,122.70,9.10
126@byaki_09.byaki,-,0.50,247.40,26.20
126@byaki_09.byaki,-,1.08,244.60,-9.30
126@byaki_09.byaki,-,0.28,243.30,-31.90
126@byaki_09.byaki,-,1.04,249.50,-42.10
126@byaki_09.byaki,-,1.18,253.80,-56.00
126@byaki_09.byaki,-,0.67,258.70,-61.60
126@byaki_09.byaki,-,0.75,271.00,-72.00
126@byaki_09.byaki,-,1.48,321.40,-79.30
126@byaki_09.byaki,-,1.21,32.70,-80.20
126@byaki_09.byaki,-,1.83,73.20,-76.00
126@byaki_09.byaki,-,1.59,73.20,-68.00
126@byaki_09.byaki,-,2.44,61.80,-57.20
126@byaki_09.byaki,-,3.08,61.00,-56.20
126@byaki_09.byaki,-,3.15,59.90,-53.90
126@byaki_09.byaki,-,3.25,58.40,-50.70
126@byaki_09.byaki,-,2.56,57.10,-44.10
126@byaki_09.byaki,-,2.91,56.10,-36.90
126@byaki_09.byaki,-,2.92,58.60,-29.20
126@byaki_09.byaki,-,0.27,60.80,-25.30
126@byaki_09.byaki,-,3.40,62.70,-19.20
126@byaki_09.byaki,-,3.99,64.30,-12.20
126@byaki_09.byaki,-,12.20,65.40,-8.50
126@byaki_09.byaki,-,9.98,65.70,-5.00
126@byaki_09.byaki,-,10.44,66.70,-0.70
126@byaki_09.byaki,-,10.53,67.50,0.90
126@byaki_09.byaki,-,10.55,67.40,2.70
126@byaki_09.byaki,-,4.27,66.50,5.30
126@byaki_09.byaki,-,2.53,63.50,8.60
126@byaki_09.byaki,-,1.66,60.20,14.80
126@byaki_09.byaki,-,1.21,54.40,23.50
126@byaki_09.byaki,-,1.10,62.10,27.60
123@byaki_09.byaki,-,0.97,251.50,11.50
123@byaki_09.byaki,-,1.46,257.70,8.50
123@byaki_09.byaki,-,3.13,260.30,5.90
123@byaki_09.byaki,-,2.88,264.50,4.50
123@byaki_09.byaki,-,2.50,269.50,4.30
123@byaki_09.byaki,-,2.42,270.90,3.90
123@byaki_09.byaki,-,1.52,272.80,4.60
123@byaki_09.byaki,-,1.31,276.90,6.60
123@byaki_09.byaki,-,1.04,283.10,8.40
123@byaki_09.byaki,-,0.95,289.40,8.70
123@byaki_09.byaki,-,0.64,298.10,8.90
123@byaki_09.byaki,-,0.54,310.80,10.90
123@byaki_09.byaki,-,0.54,322.00,9.10
123@byaki_09.byaki,-,0.42,342.50,11.00
123@byaki_09.byaki,-,0.48,358.00,13.00
123@byaki_09.byaki,-,0.63,19.10,12.70
123@byaki_09.byaki,-,0.50,2.40,12.80
123@byaki_09.byaki,-,0.63,21.30,9.90
123@byaki_09.byaki,-,0.68,27.90,9.60
123@byaki_09.byaki,-,1.47,33.60,8.40
123@byaki_09.byaki,-,1.50,36.50,6.30
123@byaki_09.byaki,-,2.60,40.40,1.60
123@byaki_09.byaki,-,2.64,41.00,-4.40
123@byaki_09.byaki,-,2.71,45.10,-5.20
123@byaki_09.byaki,-,2.75,46.90,-5.50
123@byaki_09.byaki,-,4.21,49.10,-6.10
121@byaki_09.byaki,529@byaki_09.byaki,12.49,187.70,-2.10
529@byaki_09.byaki,-,2.34,212.50,2.50
529@byaki_09.byaki,-,2.14,223.40,0.50
529@byaki_09.byaki,-,1.75,241.40,-1.90
529@byaki_09.byaki,-,1.58,247.30,-5.00
529@byaki_09.byaki,-,1.77,276.00,-3.80
529@byaki_09.byaki,-,1.76,277.10,-2.60
529@byaki_09.byaki,-,1.99,291.10,-2.60
529@byaki_09.byaki,-,2.36,306.50,-2.90
529@byaki_09.byaki,-,2.74,318.50,1.20
529@byaki_09.byaki,-,3.08,322.80,3.20
529@byaki_09.byaki,-,4.91,325.90,3.10
529@byaki_09.byaki,-,5.72,329.50,2.60
529@byaki_09.byaki,-,5.86,332.20,2.40
529@byaki_09.byaki,-,6.66,333.30,2.40
529@byaki_09.byaki,-,7.03,336.50,2.00
529@byaki_09.byaki,-,8.48,339.90,1.10
529@byaki_09.byaki,-,8.69,342.50,1.30
529@byaki_09.byaki,-,8.76,346.30,0.60
529@byaki_09.byaki,-,8.78,349.40,0.50
529@byaki_09.byaki,-,6.17,350.30,0.90
529@byaki_09.byaki,-,6.05,351.80,1.00
529@byaki_09.byaki,-,6.05,352.90,0.10
529@byaki_09.byaki,-,8.90,354.20,0.60
529@byaki_09.byaki,-,8.87,356.90,0.50
529@byaki_09.byaki,-,8.80,359.50,0.90
529@byaki_09.byaki,-,8.77,2.00,0.80
529@byaki_09.byaki,-,9.43,3.50,1.10
529@byaki_09.byaki,-,9.83,4.90,2.80
529@byaki_09.byaki,-,11.24,13.20,2.10
529@byaki_09.byaki,-,3.60,14.00,1.80
529@byaki_09.byaki,-,3.48,14.90,2.30
529@byaki_09.byaki,-,2.50,17.20,4.20
529@byaki_09.byaki,-,2.51,18.90,6.80
529@byaki_09.byaki,127@byaki_09.byaki,2.78,319.60,0.40
127@byaki_09.byaki,-,6.03,350.20,3.00
127@byaki_09.byaki,-,6.41,358.30,1.00
127@byaki_09.byaki,-,6.77,4.60,0.70
127@byaki_09.byaki,-,6.87,7.60,1.50
127@byaki_09.byaki,-,4.52,8.90,0.90
127@byaki_09.byaki,-,4.02,11.50,1.40
127@byaki_09.byaki,-,4.05,13.80,1.40
127@byaki_09.byaki,-,6.97,16.10,1.70
127@byaki_09.byaki,-,6.97,17.50,3.30
127@byaki_09.byaki,-,7.87,18.70,3.40
127@byaki_09.byaki,-,9.89,26.50,2.80
127@byaki_09.byaki,-,9.86,31.20,3.00
127@byaki_09.byaki,-,9.92,33.80,2.90
127@byaki_09.byaki,-,8.49,36.00,3.70
127@byaki_09.byaki,-,9.03,39.50,3.60
127@byaki_09.byaki,-,6.53,42.10,2.60
127@byaki_09.byaki,-,6.62,46.60,3.20
127@byaki_09.byaki,-,6.24,49.70,3.00
127@byaki_09.byaki,-,5.07,52.70,3.40
127@byaki_09.byaki,-,4.45,55.10,3.50
127@byaki_09.byaki,-,3.96,58.60,3.50
127@byaki_09.byaki,-,3.05,62.60,3.70
127@byaki_09.byaki,-,3.01,70.20,3.80
127@byaki_09.byaki,-,2.63,79.90,5.10
127@byaki_09.byaki,-,3.08,75.60,9.00
127@byaki_09.byaki,-,2.56,81.00,9.40
127@byaki_09.byaki,-,2.50,88.20,8.00
127@byaki_09.byaki,-,2.55,98.80,7.30
127@byaki_09.byaki,-,2.48,107.50,5.10
127@byaki_09.byaki,-,2.61,116.90,4.40
127@byaki_09.byaki,-,2.52,127.10,4.30
127@byaki_09.byaki,-,2.72,134.70,3.70
127@byaki_09.byaki,-,2.88,141.70,1.80
127@byaki_09.byaki,-,2.87,140.80,3.40
127@byaki_09.byaki,-,3.39,151.30,2.10
127@byaki_09.byaki,-,4.97,154.20,-0.10
127@byaki_09.byaki,128@byaki_09.byaki,5.02,156.60,0.60
128@byaki_09.byaki,-,4.45,153.20,0.20
128@byaki_09.byaki,-,3.06,156.90,1.50
128@byaki_09.byaki,-,2.94,162.00,1.00
128@byaki_09.byaki,-,3.00,164.70,1.70
128@byaki_09.byaki,-,4.03,166.60,0.20
128@byaki_09.byaki,-,5.10,168.90,2.20
128@byaki_09.byaki,-,5.08,172.20,1.10
128@byaki_09.byaki,-,7.35,179.70,2.80
128@byaki_09.byaki,-,7.04,183.30,1.50
128@byaki_09.byaki,-,7.09,186.20,2.00
128@byaki_09.byaki,-,3.78,188.10,-0.00
128@byaki_09.byaki,-,3.63,194.40,0.20
128@byaki_09.byaki,-,3.66,198.90,-0.00
128@byaki_09.byaki,-,3.13,203.90,-0.30
128@byaki_09.byaki,-,2.76,213.50,-2.40
128@byaki_09.byaki,-,2.55,219.20,-1.70
128@byaki_09.byaki,-,2.32,222.90,-0.20
128@byaki_09.byaki,-,1.77,229.80,0.30
128@byaki_09.byaki,-,1.91,232.70,1.20
128@byaki_09.byaki,-,2.63,237.60,1.90
128@byaki_09.byaki,-,4.59,240.70,5.90
128@byaki_09.byaki,-,7.56,242.80,6.40
128@byaki_09.byaki,-,6.90,244.30,6.00
128@byaki_09.byaki,-,5.14,245.40,5.50
128@byaki_09.byaki,-,1.62,247.80,4.70
128@byaki_09.byaki,-,3.09,255.30,0.80
128@byaki_09.byaki,-,1.55,264.20,-2.60
128@byaki_09.byaki,-,1.47,272.50,-3.60
128@byaki_09.byaki,-,1.54,281.60,-1.70
128@byaki_09.byaki,-,1.87,280.60,-6.90
128@byaki_09.byaki,-,1.53,281.40,-2.60
128@byaki_09.byaki,-,1.92,293.40,-3.30
128@byaki_09.byaki,-,2.13,299.40,-3.60
128@byaki_09.byaki,-,2.79,304.00,-0.70
128@byaki_09.byaki,-,3.17,312.20,-0.70
128@byaki_09.byaki,-,3.61,316.90,-0.20
128@byaki_09.byaki,-,3.81,323.10,-0.70
128@byaki_09.byaki,-,4.32,327.50,-0.90
128@byaki_09.byaki,-,4.76,332.20,-1.60
128@byaki_09.byaki,-,4.88,333.20,-1.90
128@byaki_09.byaki,-,8.31,335.80,-1.20
128@byaki_09.byaki,-,8.94,336.80,-1.10
128@byaki_09.byaki,-,9.17,337.80,-1.10
128@byaki_09.byaki,-,10.28,339.20,-0.60
128@byaki_09.byaki,129@byaki_09.byaki,3.72,187.80,-9.60
129@byaki_09.byaki,-,2.08,130.30,21.20
129@byaki_09.byaki,-,1.95,140.00,22.80
129@byaki_09.byaki,-,2.73,149.60,19.30
129@byaki_09.byaki,-,3.29,156.90,16.50
129@byaki_09.byaki,-,4.03,163.50,15.40
129@byaki_09.byaki,-,4.47,168.40,15.20
129@byaki_09.byaki,-,4.76,172.00,15.50
129@byaki_09.byaki,-,4.26,176.80,15.50
129@byaki_09.byaki,-,3.70,181.90,15.20
129@byaki_09.byaki,-,3.47,186.40,14.40
129@byaki_09.byaki,-,2.40,192.90,18.00
129@byaki_09.byaki,-,1.54,198.60,19.40
129@byaki_09.byaki,-,1.86,119.00,20.60
129@byaki_09.byaki,-,1.49,104.30,21.60
129@byaki_09.byaki,-,1.47,88.80,19.00
129@byaki_09.byaki,-,1.50,74.60,20.30
129@byaki_09.byaki,-,1.51,63.60,19.10
129@byaki_09.byaki,-,1.56,55.30,23.60
129@byaki_09.byaki,-,3.10,52.70,14.50
129@byaki_09.byaki,-,3.05,47.30,15.90
129@byaki_09.byaki,-,3.16,43.10,15.00
129@byaki_09.byaki,-,3.45,40.20,12.60
129@byaki_09.byaki,-,3.39,36.50,11.90
129@byaki_09.byaki,-,4.28,32.90,10.10
129@byaki_09.byaki,-,4.33,29.00,10.50
129@byaki_09.byaki,-,3.59,24.80,11.20
129@byaki_09.byaki,-,0.16,25.40,8.60
129@byaki_09.byaki,-,3.48,24.40,12.10
129@byaki_09.byaki,-,3.40,23.20,10.40
129@byaki_09.byaki,-,3.31,18.40,10.10
129@byaki_09.byaki,-,3.54,16.00,9.70
129@byaki_09.byaki,-,3.59,10.50,11.00
129@byaki_09.byaki,-,3.71,7.60,10.50
129@byaki_09.byaki,-,4.53,5.00,9.50
129@byaki_09.byaki,-,4.83,1.80,7.00
129@byaki_09.byaki,-,4.89,0.30,7.90
129@byaki_09.byaki,-,11.44,359.00,4.20
128@byaki_09.byaki,130@byaki_09.byaki,0.91,211.00,-58.00
130@byaki_09.byaki,-,4.24,332.30,10.50
130@byaki_09.byaki,-,3.92,329.00,10.50
130@byaki_09.byaki,-,3.54,323.40,13.00
130@byaki_09.byaki,-,2.54,316.20,15.60
130@byaki_09.byaki,-,2.02,310.00,17.30
130@byaki_09.byaki,-,1.63,302.70,23.90
130@byaki_09.byaki,-,1.49,287.60,26.70
130@byaki_09.byaki,-,2.12,269.00,18.20
130@byaki_09.byaki,-,2.78,260.50,16.60
130@byaki_09.byaki,-,1.89,245.70,25.50
130@byaki_09.byaki,-,1.51,240.70,29.90
130@byaki_09.byaki,-,2.06,233.90,22.20
130@byaki_09.byaki,-,2.19,223.00,20.00
130@byaki_09.byaki,-,2.36,216.40,19.60
130@byaki_09.byaki,-,2.53,208.80,17.10
130@byaki_09.byaki,-,3.08,201.10,15.80
130@byaki_09.byaki,-,3.24,192.20,14.10
130@byaki_09.byaki,-,3.30,186.70,12.30
130@byaki_09.byaki,-,4.78,164.80,11.30
130@byaki_09.byaki,-,4.38,161.70,13.90
130@byaki_09.byaki,-,2.80,157.00,16.80
130@byaki_09.byaki,-,2.72,150.40,19.00
130@byaki_09.byaki,-,5.74,145.50,12.10
130@byaki_09.byaki,-,6.08,142.20,9.40
130@byaki_09.byaki,-,5.97,138.10,9.80
130@byaki_09.byaki,-,5.95,134.90,10.80
130@byaki_09.byaki,-,6.17,132.00,12.00
130@byaki_09.byaki,-,4.35,127.20,15.80
130@byaki_09.byaki,-,2.93,123.30,17.60
130@byaki_09.byaki,-,2.41,117.60,19.30
130@byaki_09.byaki,131@byaki_09.byaki,1.50,242.50,29.40
131@byaki_09.byaki,-,14.96,11.80,0.90
131@byaki_09.byaki,-,3.33,12.70,0.60
131@byaki_09.byaki,-,3.02,13.00,0.70
131@byaki_09.byaki,-,2.68,17.50,0.80
131@byaki_09.byaki,-,2.49,22.00,0.20
131@byaki_09.byaki,-,2.57,29.00,-0.30
131@byaki_09.byaki,-,2.46,33.80,1.10
131@byaki_09.byaki,-,1.92,38.70,1.30
131@byaki_09.byaki,-,1.86,42.40,2.50
131@byaki_09.byaki,-,1.77,46.90,1.20
131@byaki_09.byaki,-,1.81,54.30,2.10
131@byaki_09.byaki,-,2.01,61.70,1.70
131@byaki_09.byaki,-,2.11,68.40,1.00
131@byaki_09.byaki,-,2.03,71.70,1.00
131@byaki_09.byaki,-,3.80,78.00,1.50
131@byaki_09.byaki,-,3.08,80.80,2.40
131@byaki_09.byaki,-,2.98,83.60,2.80
131@byaki_09.byaki,-,3.14,86.00,2.90
131@byaki_09.byaki,-,3.24,89.60,2.40
131@byaki_09.byaki,-,3.05,92.40,2.20
131@byaki_09.byaki,-,3.18,97.60,2.80
131@byaki_09.byaki,-,3.42,101.80,3.90
131@byaki_09.byaki,-,3.71,105.90,4.10
131@byaki_09.byaki,-,4.98,108.00,5.60
131@byaki_09.byaki,-,5.22,110.30,4.60
131@byaki_09.byaki,-,8.06,112.80,3.70
131@byaki_09.byaki,-,6.39,122.80,3.70
131@byaki_09.byaki,-,2.84,124.40,3.80
131@byaki_09.byaki,-,2.76,128.80,4.30
131@byaki_09.byaki,-,2.86,133.10,4.30
131@byaki_09.byaki,-,3.38,137.00,4.30
131@byaki_09.byaki,-,4.04,140.80,4.00
131@byaki_09.byaki,-,4.28,146.20,3.60
131@byaki_09.byaki,-,4.50,151.90,4.00
131@byaki_09.byaki,-,4.60,156.20,1.70
131@byaki_09.byaki,-,6.20,162.30,3.40
131@byaki_09.byaki,-,6.63,165.90,4.10
131@byaki_09.byaki,-,6.39,169.80,4.10
131@byaki_09.byaki,-,2.28,178.10,3.50
131@byaki_09.byaki,-,1.89,184.90,5.10
131@byaki_09.byaki,-,1.20,191.80,5.50
131@byaki_09.byaki,-,0.88,200.50,7.00
130@byaki_09.byaki,132@byaki_09.byaki,1.35,91.30,80.70
132@byaki_09.byaki,-,0.62,45.30,9.20
132@byaki_09.byaki,-,3.52,47.20,13.90
132@byaki_09.byaki,-,3.37,47.60,17.20
132@byaki_09.byaki,-,2.93,48.90,28.40
132@byaki_09.byaki,-,3.07,49.10,35.00
132@byaki_09.byaki,-,3.16,48.60,41.60
132@byaki_09.byaki,-,3.27,47.60,45.40
132@byaki_09.byaki,-,3.09,44.40,51.90
132@byaki_09.byaki,-,2.91,42.90,57.30
132@byaki_09.byaki,-,2.94,37.60,61.70
132@byaki_09.byaki,-,3.94,34.80,63.20
132@byaki_09.byaki,-,3.87,29.30,68.20
132@byaki_09.byaki,-,3.43,24.00,72.00
132@byaki_09.byaki,-,3.33,14.00,80.50
132@byaki_09.byaki,-,3.29,341.40,85.20
132@byaki_09.byaki,-,4.88,297.10,85.30
132@byaki_09.byaki,-,4.97,255.60,84.00
132@byaki_09.byaki,-,3.31,230.60,81.70
132@byaki_09.byaki,-,3.16,211.20,78.50
132@byaki_09.byaki,-,1.61,210.50,73.10
132@byaki_09.byaki,-,1.40,206.30,67.00
132@byaki_09.byaki,-,0.89,213.80,54.00
132@byaki_09.byaki,-,0.99,221.50,41.30
132@byaki_09.byaki,-,1.00,224.70,29.70
132@byaki_09.byaki,-,1.06,228.10,20.00
132@byaki_09.byaki,-,1.42,227.10,10.20
132@byaki_09.byaki,-,1.33,230.70,0.50
132@byaki_09.byaki,-,1.25,239.90,-6.60
132@byaki_09.byaki,-,2.89,248.10,-15.40
132@byaki_09.byaki,-,2.73,248.20,-21.60
132@byaki_09.byaki,-,2.12,244.10,-25.90
132@byaki_09.byaki,-,1.81,240.00,-27.10
132@byaki_09.byaki,-,1.84,236.20,-27.50
132@byaki_09.byaki,-,2.33,232.10,-28.10
132@byaki_09.byaki,-,2.23,242.80,-37.50
132@byaki_09.byaki,-,1.96,243.30,-50.10
132@byaki_09.byaki,-,1.97,235.40,-54.70
132@byaki_09.byaki,133@byaki_09.byaki,2.34,54.30,85.80
133@byaki_09.byaki,-,4.14,224.10,-74.60
133@byaki_09.byaki,-,4.06,224.70,-77.50
133@byaki_09.byaki,-,3.79,223.20,-82.50
133@byaki_09.byaki,-,2.36,242.70,-85.50
133@byaki_09.byaki,-,2.38,12.20,-84.70
133@byaki_09.byaki,-,2.10,25.60,-79.40
133@byaki_09.byaki,-,1.57,40.50,-65.00
133@byaki_09.byaki,-,2.88,52.50,-61.50
133@byaki_09.byaki,-,3.12,55.30,-56.10
133@byaki_09.byaki,-,3.26,55.00,-52.00
133@byaki_09.byaki,-,3.29,53.60,-47.90
133@byaki_09.byaki,-,3.33,50.90,-42.70
133@byaki_09.byaki,-,2.96,49.30,-39.70
133@byaki_09.byaki,-,3.71,49.80,-33.80
133@byaki_09.byaki,-,3.22,48.40,-24.70
133@byaki_09.byaki,-,3.18,47.50,-17.90
133@byaki_09.byaki,-,3.15,45.80,-12.90
133@byaki_09.byaki,-,2.77,43.60,-5.30
133@byaki_09.byaki,-,2.68,42.30,0.10
133@byaki_09.byaki,-,1.21,37.40,10.00
133@byaki_09.byaki,-,2.62,35.70,21.90
133@byaki_09.byaki,-,3.36,35.80,31.50
133@byaki_09.byaki,-,3.27,32.80,35.90
133@byaki_09.byaki,-,2.88,26.70,40.00
133@byaki_09.byaki,-,2.68,22.30,42.50
133@byaki_09.byaki,-,2.28,15.40,46.80
133@byaki_09.byaki,-,2.00,6.60,52.00
133@byaki_09.byaki,-,1.10,331.00,70.20
133@byaki_09.byaki,-,1.49,292.20,72.40
133@byaki_09.byaki,-,3.94,262.50,70.40
133@byaki_09.byaki,-,4.78,258.00,65.20
133@byaki_09.byaki,-,3.49,251.90,55.60
133@byaki_09.byaki,-,3.22,248.20,41.40
133@byaki_09.byaki,-,4.05,245.50,33.70
133@byaki_09.byaki,-,3.99,244.20,29.10
133@byaki_09.byaki,-,1.79,243.60,23.70
133@byaki_09.byaki,-,1.34,241.70,14.30
133@byaki_09.byaki,-,5.05,246.60,-1.30
